,in_deg,out_deg,in_wdeg,out_wdeg,deg,deg_ratio,is_sink,is_source,nbr_deg_mean,nbr_deg_max,dag_layer_norm,pagerank_dep,pagerank_use,hits_hub,hits_auth,coreness,betweenness_approx,harmonic_in,is_articulation,reach_dependencies,reach_dependents,community_size,within_comm_z,participation,n_neighbor_comms,neighbor_comm_entropy,cross_comm_frac,type_in_deg,type_in_wdeg,type_out_deg,type_out_wdeg,type_in_depth_min,type_in_depth_mean,body_in_deg,body_in_wdeg,body_out_deg,body_out_wdeg,body_in_depth_min,body_in_depth_mean,stmt_body_in_ratio,relation_entropy_in,mult_per_unique_in
AddCancelCommMonoid,2,0,4.0,0.0,2,3.0,1,0,30.5,31.0,0.05,0.00019153492330945384,0.00013336990030734743,-0.0,2.5782599752456265e-09,2,0.0,2.0,0,0,2,1649,-0.40640840249749405,0.0,1,-0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,0.6931471805599453,1.0
AddCancelCommMonoid.toAddCancelMonoid,2,0,2.0,0.0,2,3.0,1,0,30.5,31.0,0.05,0.000190159313997591,0.00013336990030734743,-0.0,1.2891299876228132e-09,2,0.0,2.0,0,0,2,1649,-0.40640840249749405,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,2.0,0.0,0.0,33.0,33.0,0.3333333333333333,2.172326580816448e-08,1.0
AddCancelCommMonoid.toAddCommMonoid,2,0,48.0,0.0,2,3.0,1,0,30.5,31.0,0.05,0.00022162196800224889,0.00013336990030734743,-0.0,3.096273598668823e-08,2,0.0,2.0,0,0,2,1649,-0.40640840249749405,0.0,1,-0.0,0.0,2.0,4.0,0.0,0.0,18.0,18.0,2.0,44.0,0.0,0.0,18.0,18.0,0.1111111111111111,0.2868359830561607,12.0
AddCancelCommMonoid.toAddLeftCancelMonoid,3,0,3.0,0.0,3,4.0,1,0,61.333333333333336,123.0,0.05,0.00019020772382509244,0.00013336990030734743,-0.0,1.7374977873816202e-07,3,0.0,3.0,0,0,3,1649,-0.40640840249749405,0.4444444444444444,2,0.6365141682948128,0.3333333333333333,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,3.0,0.0,0.0,29.0,31.0,0.25,2.172326580816448e-08,1.0
AddCancelMonoid.toAddLeftCancelMonoid,3,0,3.0,0.0,3,4.0,1,0,32.333333333333336,36.0,0.15,0.0001911149278576834,0.00013336990030734743,-0.0,5.201120481879912e-09,3,0.0,4.833333333333333,0,0,7,719,-0.5348991737485616,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,3.0,0.0,0.0,17.0,17.0,0.25,2.172326580816448e-08,1.0
AddCancelMonoid.toAddRightCancelMonoid,5,0,5.0,0.0,5,6.0,1,0,30.0,35.0,0.1,0.00019290708668310815,0.00013336990030734743,-0.0,4.168705827065046e-09,5,0.0,6.0,0,0,7,719,-0.5348991737485616,0.48,2,0.6730116670092565,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,5.0,5.0,0.0,0.0,15.0,22.4,0.16666666666666666,2.172326580816448e-08,1.0
AddCommGroup,36,0,72.0,0.0,36,37.0,1,0,24.13888888888889,37.0,0.2,0.0003964064871646147,0.00013336990030734743,-0.0,9.071188774287301e-08,21,0.0,37.0,0,0,38,719,0.7529296132156313,0.0,1,-0.0,0.0,36.0,36.0,0.0,0.0,3.0,3.0,36.0,36.0,0.0,0.0,3.0,3.0,1.0,0.6931471805599453,1.0
AddCommGroup.add_comm,1,0,1.0,0.0,1,2.0,1,0,29.0,29.0,0.05,0.0001924265442052111,0.00013336990030734743,-0.0,5.324527509967188e-10,1,0.0,1.0,0,0,1,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,18.0,18.0,0.5,2.172326580816448e-08,1.0
AddCommGroup.toAddCancelCommMonoid,1,0,1.0,0.0,1,2.0,1,0,123.0,123.0,0.05,0.00018883211451322957,0.00013336990030734743,-0.0,1.7246064875053937e-07,1,0.0,1.0,0,0,1,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.5,2.172326580816448e-08,1.0
AddCommGroup.toAddCommMonoid,13,0,163.0,0.0,13,14.0,1,0,30.307692307692307,37.0,0.15,0.0002465907249270771,0.00013336990030734743,-0.0,3.1584782604955737e-07,13,0.0,15.0,0,0,17,719,-0.14464802618365466,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,13.0,163.0,0.0,0.0,16.0,19.23076923076923,0.006097560975609756,2.172326580816448e-08,12.538461538461538
AddCommGroup.toAddGroup,38,0,1165.0,0.0,38,39.0,1,0,26.026315789473685,75.0,0.2,0.0008746147550319704,0.00013336990030734743,-0.0,2.649180155114246e-06,21,0.0,40.333333333333336,0,0,43,719,0.791954727972122,0.05124653739612173,2,0.12169240267806193,0.02631578947368421,35.0,95.0,0.0,0.0,11.0,15.028571428571428,36.0,1070.0,0.0,0.0,5.0,14.222222222222221,0.0896358543417367,0.2825268320256208,16.408450704225352
AddCommGroup.toDivisionAddCommMonoid,23,0,416.0,0.0,23,24.0,1,0,68.78260869565217,220.0,0.2,0.00028292093754413524,0.00013336990030734743,-0.0,0.00018507708555826486,21,0.0,31.083333333333336,0,0,41,719,-0.10562291142716396,0.4763705103969753,2,0.6693279632926454,0.391304347826087,5.0,7.0,0.0,0.0,13.0,15.8,23.0,409.0,0.0,0.0,13.0,21.043478260869566,0.01951219512195122,0.08541874616296259,14.857142857142858
AddCommGroup.toGrindIntModule,0,29,0.0,44.0,29,0.03333333333333333,0,1,43.06896551724138,248.0,0.0,0.00018878370468572813,0.0023543334824540196,1.2489984572956232e-05,-0.0,15,0.0,0.0,1,128,0,719,0.47975380992019645,0.0,1,-0.0,0.0,0.0,0.0,2.0,2.0,-1.0,-1.0,0.0,0.0,28.0,42.0,-1.0,-1.0,1.0,0.6931471805599453,0.0
AddCommGroup.toGrindIntModule._proof_1,1,24,1.0,176.0,25,0.08,0,0,168.44,1230.0,0.05,0.0001924265442052111,0.000360831862769387,0.00016719029642278582,5.324527509967188e-10,20,0.0,1.0,0,24,1,719,0.050477547598798814,0.4032,2,0.5929533174474745,0.28,0.0,0.0,16.0,27.0,-1.0,-1.0,1.0,1.0,24.0,149.0,9.0,9.0,0.5,2.172326580816448e-08,1.0
AddCommGroup.toGrindIntModule._proof_2,1,13,1.0,20.0,14,0.14285714285714285,0,0,214.14285714285714,1230.0,0.05,0.0001924265442052111,0.00020679434672284653,2.3521079314469903e-06,5.324527509967188e-10,12,0.0,1.0,0,13,1,719,-0.14464802618365466,0.13265306122448983,2,0.25731864054383163,0.07142857142857142,0.0,0.0,12.0,15.0,-1.0,-1.0,1.0,1.0,5.0,5.0,19.0,19.0,0.5,2.172326580816448e-08,1.0
AddCommGroup.toGrindIntModule._proof_3,1,10,1.0,36.0,11,0.18181818181818182,0,0,210.63636363636363,1230.0,0.05,0.0001924265442052111,0.00019566877932876374,2.0504786387547046e-06,5.324527509967188e-10,10,0.0,1.0,0,10,1,719,-0.2617233704531267,0.16528925619834722,2,0.30463609734923813,0.09090909090909091,0.0,0.0,9.0,30.0,-1.0,-1.0,1.0,1.0,6.0,6.0,17.0,17.0,0.5,2.172326580816448e-08,1.0
AddCommGroup.toGrindIntModule._proof_4,1,15,1.0,22.0,16,0.125,0,0,204.9375,1230.0,0.05,0.0001924265442052111,0.0002637661995027438,2.388667491998246e-06,5.324527509967188e-10,14,0.0,1.0,1,15,1,719,-0.06659779667067327,0.1171875,2,0.2337916587064593,0.0625,0.0,0.0,14.0,19.0,-1.0,-1.0,1.0,1.0,3.0,3.0,13.0,13.0,0.5,2.172326580816448e-08,1.0
AddCommGroup.toGrindIntModule._proof_5,1,15,1.0,22.0,16,0.125,0,0,188.9375,1230.0,0.05,0.0001924265442052111,0.00025123615380471837,1.4940040204483936e-06,5.324527509967188e-10,15,0.0,1.0,1,15,1,719,-0.06659779667067327,0.1171875,2,0.2337916587064593,0.0625,0.0,0.0,14.0,18.0,-1.0,-1.0,1.0,1.0,4.0,4.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
AddCommGroup.toGrindIntModule._proof_6,1,15,1.0,23.0,16,0.125,0,0,164.875,1230.0,0.05,0.0001924265442052111,0.00026352108904233846,7.342102420001779e-06,5.324527509967188e-10,14,0.0,1.0,1,15,1,719,-0.06659779667067327,0.1171875,2,0.2337916587064593,0.0625,0.0,0.0,14.0,19.0,-1.0,-1.0,1.0,1.0,4.0,4.0,8.0,8.0,0.5,2.172326580816448e-08,1.0
AddCommGroup.toGrindIntModule._proof_7,1,12,1.0,17.0,13,0.15384615384615385,0,0,171.76923076923077,1230.0,0.05,0.0001924265442052111,0.0001533399363048942,5.630443307526915e-06,5.324527509967188e-10,12,0.0,1.0,0,12,1,719,-0.18367314094014536,0.14201183431952646,2,0.2711893730418441,0.07692307692307693,0.0,0.0,11.0,13.0,-1.0,-1.0,1.0,1.0,4.0,4.0,7.0,7.0,0.5,2.172326580816448e-08,1.0
AddCommGroup.toGrindIntModule._proof_8,1,17,1.0,48.0,18,0.1111111111111111,0,0,177.38888888888889,1230.0,0.05,0.0001924265442052111,0.0002493697831413524,1.8039117086869376e-05,5.324527509967188e-10,17,0.0,1.0,0,106,1,719,0.011452432842308121,0.1049382716049383,2,0.2145591551764051,0.05555555555555555,0.0,0.0,16.0,43.0,-1.0,-1.0,1.0,1.0,4.0,5.0,6.0,6.0,0.5,2.172326580816448e-08,1.0
AddCommMagma.toAdd,51,0,743.0,0.0,51,52.0,1,0,32.666666666666664,123.0,0.3,0.0005171307435446484,0.00013336990030734743,-0.0,4.395685763223147e-06,25,0.0,58.5,0,0,69,719,1.182205875537029,0.14686658977316436,3,0.3190261396581085,0.0784313725490196,7.0,34.0,0.0,0.0,12.0,12.428571428571429,50.0,709.0,0.0,0.0,12.0,16.66,0.04929577464788732,0.1858375976811133,13.035087719298245
AddCommMagma.to_isCommutative,1,0,1.0,0.0,1,2.0,1,0,36.0,36.0,0.1,0.00018966696560833454,0.00013336990030734743,-0.0,4.466458736180733e-09,1,0.0,1.5,0,0,2,16,-0.25819888974716115,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,24.0,24.0,0.5,2.172326580816448e-08,1.0
AddCommMonoid,8,0,16.0,0.0,8,9.0,1,0,18.875,34.0,0.2,0.0002672778934248792,0.00013336990030734743,-0.0,2.9335083008103915e-07,8,0.0,9.333333333333332,0,0,11,719,-0.3397735999661081,0.0,1,-0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,8.0,8.0,0.0,0.0,3.0,3.0,1.0,0.6931471805599453,1.0
AddCommMonoid.add_comm,1,0,1.0,0.0,1,2.0,1,0,17.0,17.0,0.05,0.00019641632082178766,0.00013336990030734743,-0.0,4.769280136690307e-10,1,0.0,1.0,0,0,1,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,10.0,10.0,0.5,2.172326580816448e-08,1.0
AddCommMonoid.toAddCommSemigroup,40,0,512.0,0.0,40,41.0,1,0,31.15,37.0,0.2,0.0003347783909791746,0.00013336990030734743,-0.0,3.2652428143493555e-06,25,0.0,46.99999999999999,0,0,57,719,0.909030072241594,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,40.0,512.0,0.0,0.0,14.0,17.25,0.001949317738791423,2.172326580816448e-08,12.8
AddCommMonoid.toAddMonoid,15,0,614.0,0.0,15,16.0,1,0,33.86666666666667,94.0,0.2,0.0004296673684372347,0.00013336990030734743,-0.0,8.207435069849721e-05,11,0.0,15.5,0,0,16,719,-0.2617233704531267,0.48,3,0.8033149761408755,0.3333333333333333,9.0,34.0,0.0,0.0,9.0,14.0,15.0,580.0,0.0,0.0,5.0,14.666666666666666,0.060240963855421686,0.21404613679466822,25.583333333333332
AddCommMonoid.toGrindNatModule,0,17,0.0,21.0,17,0.05555555555555555,0,1,29.823529411764707,248.0,0.0,0.00018878370468572813,0.0014048677047418957,1.1187515741043198e-05,-0.0,8,0.0,0.0,1,42,0,719,0.011452432842308121,0.0,1,-0.0,0.0,0.0,0.0,2.0,2.0,-1.0,-1.0,0.0,0.0,16.0,19.0,-1.0,-1.0,1.0,0.6931471805599453,0.0
AddCommMonoid.toGrindNatModule._proof_1,1,29,1.0,447.0,30,0.06666666666666667,0,0,185.43333333333334,1230.0,0.05,0.00019641632082178766,0.00027835162983920025,0.0006134446356553271,4.769280136690307e-10,23,0.0,1.0,0,29,1,719,0.36267846565072437,0.23111111111111104,2,0.39267446722755217,0.13333333333333333,0.0,0.0,16.0,36.0,-1.0,-1.0,1.0,1.0,29.0,411.0,9.0,9.0,0.5,2.172326580816448e-08,1.0
AddCommMonoid.toGrindNatModule._proof_2,1,11,1.0,14.0,12,0.16666666666666666,0,0,221.0,1230.0,0.05,0.00019641632082178766,0.00021793744304471224,2.302849351652457e-06,4.769280136690307e-10,8,0.0,1.0,0,11,1,719,-0.22269825569663604,0.1527777777777779,2,0.2868359830561607,0.08333333333333333,0.0,0.0,10.0,11.0,-1.0,-1.0,1.0,1.0,3.0,3.0,11.0,11.0,0.5,2.172326580816448e-08,1.0
AddCommMonoid.toGrindNatModule._proof_3,1,8,1.0,26.0,9,0.2222222222222222,0,0,219.0,1230.0,0.05,0.00019641632082178766,0.0002068773181603209,1.968373654158372e-06,4.769280136690307e-10,8,0.0,1.0,0,8,1,719,-0.3397735999661081,0.19753086419753085,2,0.34883209584303193,0.1111111111111111,0.0,0.0,7.0,22.0,-1.0,-1.0,1.0,1.0,4.0,4.0,9.0,9.0,0.5,2.172326580816448e-08,1.0
AddCommMonoid.toGrindNatModule._proof_4,1,13,1.0,19.0,14,0.14285714285714285,0,0,181.71428571428572,1230.0,0.05,0.00019641632082178766,0.0002746357423003146,2.100780397950486e-05,4.769280136690307e-10,10,0.0,1.0,1,13,1,719,-0.14464802618365466,0.13265306122448983,2,0.25731864054383163,0.07142857142857142,0.0,0.0,12.0,16.0,-1.0,-1.0,1.0,1.0,3.0,3.0,6.0,6.0,0.5,2.172326580816448e-08,1.0
AddCommMonoidWithOne.toAddMonoidWithOne,14,0,2092.0,0.0,14,15.0,1,0,97.14285714285714,220.0,0.1,0.0002462713285613164,0.00013336990030734743,-0.0,0.004621819328586943,13,0.0,16.0,0,0,18,922,0.0027229894228717176,0.13265306122448983,2,0.25731864054383163,0.07142857142857142,4.0,13.0,0.0,0.0,10.0,13.0,14.0,2079.0,0.0,0.0,12.0,17.857142857142858,0.006730769230769231,0.037768436033853214,116.22222222222223
AddCommSemigroup,7,0,14.0,0.0,7,8.0,1,0,19.142857142857142,36.0,0.3,0.00020833213640163463,0.00013336990030734743,-0.0,2.2733686599560462e-08,7,0.0,17.53333333333333,0,0,32,719,-0.5348991737485616,0.6122448979591837,3,1.0042424730540764,0.5714285714285714,7.0,7.0,0.0,0.0,3.0,3.0,7.0,7.0,0.0,0.0,3.0,3.0,1.0,0.6931471805599453,1.0
AddCommSemigroup.toAddCommMagma,51,0,797.0,0.0,51,52.0,1,0,32.666666666666664,123.0,0.3,0.0005407973322234282,0.00013336990030734743,-0.0,4.5983324286237466e-06,25,0.0,58.5,0,0,69,719,1.182205875537029,0.14686658977316436,3,0.3190261396581085,0.0784313725490196,7.0,34.0,0.0,0.0,13.0,13.428571428571429,50.0,763.0,0.0,0.0,11.0,16.68,0.04581151832460733,0.17630745707504547,13.982456140350877
AddCommSemigroup.toAddSemigroup,4,0,84.0,0.0,4,5.0,1,0,25.0,36.0,0.3,0.00022803394064301733,0.00013336990030734743,-0.0,1.4238257973576415e-07,4,0.0,16.03333333333333,0,0,32,16,-0.25819888974716115,0.625,3,1.0397207708399179,0.75,0.0,0.0,0.0,0.0,-1.0,-1.0,4.0,84.0,0.0,0.0,15.0,19.0,0.011764705882352941,2.172326580816448e-08,21.0
AddGroup,74,0,148.0,0.0,74,75.0,1,0,26.5,66.0,0.25,0.00046365591067080156,0.00013336990030734743,-0.0,1.4246943640915985e-06,24,0.0,80.33333333333334,0,0,88,719,1.9627081706668428,0.17129291453615791,2,0.31304108587198165,0.0945945945945946,74.0,74.0,0.0,0.0,3.0,3.0,74.0,74.0,0.0,0.0,3.0,3.0,1.0,0.6931471805599453,1.0
AddGroup.addLeftReflectLE_of_addLeftMono,5,0,5.0,0.0,5,6.0,1,0,77.4,123.0,0.2,0.00018993443088573774,0.00013336990030734743,-0.0,6.142102254142226e-07,5,0.0,9.333333333333334,0,0,16,719,-0.5348991737485616,0.48,2,0.6730116670092565,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,5.0,5.0,0.0,0.0,17.0,24.4,0.16666666666666666,2.172326580816448e-08,1.0
AddGroup.neg_add_cancel,1,0,1.0,0.0,1,2.0,1,0,16.0,16.0,0.1,0.0001962106811449048,0.00013336990030734743,-0.0,1.0182979569767257e-10,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.5,2.172326580816448e-08,1.0
AddGroup.toAddCancelMonoid,6,0,6.0,0.0,6,7.0,1,0,31.0,36.0,0.15,0.0001938627005432006,0.00013336990030734743,-0.0,8.080696321322075e-09,6,0.0,8.833333333333332,0,0,12,719,-0.4178238294790895,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,6.0,6.0,0.0,0.0,16.0,17.5,0.14285714285714285,2.172326580816448e-08,1.0
AddGroup.toOrderedSub,1,0,1.0,0.0,1,2.0,1,0,75.0,75.0,0.05,0.00018900267318143477,0.00013336990030734743,-0.0,8.222123688032066e-08,1,0.0,1.0,0,0,1,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,15.0,15.0,0.5,2.172326580816448e-08,1.0
AddGroup.toSubNegMonoid,122,0,3990.0,0.0,122,123.0,1,0,34.18032786885246,220.0,0.25,0.0019955493678400415,0.00013336990030734743,-0.0,0.0004405655331472042,25,0.0,127.16666666666667,0,0,133,719,3.562737875682961,0.20962106960494498,3,0.4347074244199554,0.11475409836065574,109.0,263.0,0.0,0.0,10.0,14.935779816513762,114.0,3727.0,0.0,0.0,5.0,16.75438596491228,0.07081545064377683,0.2429412144398119,17.89237668161435
AddGroup.toSubtractionMonoid,72,0,1027.0,0.0,72,73.0,1,0,37.736111111111114,220.0,0.6,0.0006898761659419616,0.00013336990030734743,-0.0,7.697791449607619e-05,24,0.0,123.66666666666649,0,0,206,719,1.6505072526149174,0.30979938271604945,3,0.583681288030736,0.18055555555555555,44.0,64.0,0.0,0.0,11.0,14.431818181818182,68.0,963.0,0.0,0.0,11.0,16.897058823529413,0.06742738589211618,0.23329696368063818,9.169642857142858
AddGroupWithOne.toAddGroup,11,0,149.0,0.0,11,12.0,1,0,113.9090909090909,220.0,0.25,0.00019444087268987955,0.00013336990030734743,-0.0,0.00026456137703740343,11,0.0,19.283333333333335,0,0,32,922,-0.18324710301325361,0.2975206611570247,2,0.47413931305783735,0.18181818181818182,0.0,0.0,0.0,0.0,-1.0,-1.0,11.0,149.0,0.0,0.0,14.0,22.09090909090909,0.006666666666666667,2.172326580816448e-08,13.545454545454545
AddGroupWithOne.toAddMonoidWithOne,33,0,628.0,0.0,33,34.0,1,0,85.63636363636364,220.0,0.35,0.0002590705706718025,0.00013336990030734743,-0.0,0.0007888311872078836,23,0.0,44.2,0,0,59,922,0.7466033591673732,0.21854912764003676,3,0.43749495735702343,0.12121212121212122,4.0,10.0,0.0,0.0,8.0,10.75,33.0,618.0,0.0,0.0,8.0,15.454545454545455,0.017770597738287562,0.08171896003699905,16.972972972972972
AddGroupWithOne.toIntCast,6,0,80.0,0.0,6,7.0,1,0,81.33333333333333,123.0,0.1,0.00019433810383705412,0.00013336990030734743,-0.0,1.626981158513482e-05,6,0.0,6.5,0,0,7,922,-0.4157097185584103,0.4444444444444444,2,0.6365141682948128,0.3333333333333333,2.0,2.0,0.0,0.0,16.0,16.5,6.0,78.0,0.0,0.0,15.0,18.833333333333332,0.0379746835443038,0.11690684913753106,10.0
AddLeftCancelMonoid.toAddLeftCancelSemigroup,6,0,6.0,0.0,6,7.0,1,0,46.833333333333336,123.0,0.15,0.0001925389469970477,0.00013336990030734743,-0.0,1.7895089922004225e-07,6,0.0,7.833333333333333,0,0,10,719,-0.49587405899207093,0.4444444444444444,2,0.6365141682948128,0.3333333333333333,0.0,0.0,0.0,0.0,-1.0,-1.0,6.0,6.0,0.0,0.0,16.0,23.0,0.14285714285714285,2.172326580816448e-08,1.0
AddLeftCancelSemigroup.toIsLeftCancelAdd,7,0,7.0,0.0,7,8.0,1,0,50.142857142857146,123.0,0.15,0.00019275266024885735,0.00013336990030734743,-0.0,2.4982415362406807e-07,7,0.0,8.833333333333332,0,0,11,719,-0.4568489442355802,0.40816326530612246,2,0.5982695885852573,0.2857142857142857,0.0,0.0,0.0,0.0,-1.0,-1.0,7.0,7.0,0.0,0.0,15.0,22.571428571428573,0.125,2.172326580816448e-08,1.0
AddMonoid,38,0,73.0,0.0,38,39.0,1,0,22.18421052631579,41.0,0.15,0.0003433737446960908,0.00013336990030734743,-0.0,1.2584086174699897e-06,18,0.0,40.5,0,0,44,719,0.5187789246766872,0.3324099722991689,2,0.5146531654289292,0.21052631578947367,38.0,38.0,0.0,0.0,3.0,3.1842105263157894,35.0,35.0,0.0,0.0,3.0,3.1142857142857143,1.0833333333333333,0.6923025066041153,1.0
AddMonoid.add_zero,2,0,2.0,0.0,2,3.0,1,0,13.0,14.0,0.1,0.00020886752715397293,0.00013336990030734743,-0.0,1.9844258387039262e-10,2,0.0,3.0,0,0,4,719,-0.5739242885050523,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,2.0,0.0,0.0,4.0,4.0,0.3333333333333333,2.172326580816448e-08,1.0
AddMonoid.nsmul_zero,1,0,1.0,0.0,1,2.0,1,0,14.0,14.0,0.1,0.00019756255084804958,0.00013336990030734743,-0.0,8.955706034661473e-10,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.5,2.172326580816448e-08,1.0
AddMonoid.toAddSemigroup,48,0,653.0,0.0,48,49.0,1,0,47.520833333333336,220.0,0.15,0.00042546708364047075,0.00013336990030734743,-0.0,9.738089883653464e-05,24,0.0,63.83333333333335,0,0,84,719,0.8309798427286127,0.3437500000000001,3,0.6159905783211985,0.20833333333333334,8.0,14.0,0.0,0.0,12.0,12.625,44.0,639.0,0.0,0.0,5.0,18.386363636363637,0.0234375,0.1035897648631717,12.557692307692308
AddMonoid.toAddZeroClass,201,0,4242.0,0.0,201,202.0,1,0,34.32338308457712,220.0,0.75,0.0021571419449686532,0.00013336990030734743,-0.0,0.0002796666740883332,25,0.0,245.54999999999987,0,0,352,719,6.060345220098365,0.2567758223806341,4,0.5217705209341889,0.14427860696517414,152.0,305.0,0.0,0.0,8.0,14.138157894736842,193.0,3937.0,0.0,0.0,8.0,16.253886010362695,0.07770441848654139,0.2585262795586789,12.295652173913043
AddMonoid.toNSMul,47,0,1591.0,0.0,47,48.0,1,0,32.851063829787236,66.0,0.3,0.0005486118834174456,0.00013336990030734743,-0.0,0.00021461239792865366,23,0.0,55.0,0,0,63,719,0.8700049574851034,0.2824807605251245,2,0.45622342016761397,0.1702127659574468,36.0,75.0,0.0,0.0,12.0,14.305555555555555,46.0,1516.0,0.0,0.0,9.0,17.58695652173913,0.05009887936717205,0.19000693664832377,19.402439024390244
AddMonoid.toZero,8,0,9.0,0.0,8,9.0,1,0,18.0,29.0,0.7,0.0002451840576689822,0.00013336990030734743,-0.0,8.125864702278357e-09,8,0.0,75.18333333333344,0,0,252,719,-0.3397735999661081,0.0,1,-0.0,0.0,6.0,7.0,0.0,0.0,7.0,8.5,2.0,2.0,0.0,0.0,13.0,17.0,2.6666666666666665,0.5297061990576545,1.125
AddMonoidWithOne,2,0,85.0,0.0,2,3.0,1,0,120.5,220.0,0.05,0.0001964987276195224,0.00013336990030734743,-0.0,0.00032305459720507156,2,0.0,2.0,0,0,2,922,-0.5551872878855043,0.5,2,0.6931471805599453,0.5,1.0,1.0,0.0,0.0,3.0,3.0,2.0,84.0,0.0,0.0,3.0,13.0,0.023529411764705882,0.06396171410398296,28.333333333333332
AddMonoidWithOne.toAddMonoid,8,0,73.0,0.0,8,9.0,1,0,81.375,123.0,0.15,0.00020832094240105247,0.00013336990030734743,-0.0,2.237575591075489e-05,8,0.0,11.166666666666668,0,0,15,922,-0.369217195449379,0.46875,2,0.6615632381579821,0.375,1.0,2.0,0.0,0.0,14.0,14.0,8.0,71.0,0.0,0.0,14.0,22.5,0.041666666666666664,0.12557498044903107,8.11111111111111
AddMonoidWithOne.toNatCast,24,0,370.0,0.0,24,25.0,1,0,69.95833333333333,182.0,0.15,0.0002626192602059018,0.00013336990030734743,-0.0,0.00015486768144758157,18,0.0,26.833333333333332,0,0,30,922,0.2816781280770597,0.32986111111111116,2,0.5117400734174093,0.20833333333333334,7.0,14.0,0.0,0.0,9.0,13.0,24.0,356.0,0.0,0.0,11.0,15.0,0.04201680672268908,0.16101072780600947,11.935483870967742
AddMonoidWithOne.toOne,18,0,229.0,0.0,18,19.0,1,0,86.88888888888889,220.0,0.15,0.00021095843835570373,0.00013336990030734743,-0.0,0.00040074931508089355,17,0.0,23.0,0,0,29,922,0.09570803564093439,0.2777777777777777,2,0.45056120886630463,0.16666666666666666,5.0,9.0,0.0,0.0,12.0,12.6,18.0,220.0,0.0,0.0,11.0,16.444444444444443,0.04524886877828054,0.1657172813116828,9.956521739130435
AddRightCancelMonoid.toAddRightCancelSemigroup,5,0,5.0,0.0,5,6.0,1,0,30.0,35.0,0.1,0.00019290708668310815,0.00013336990030734743,-0.0,4.168705827065046e-09,5,0.0,6.0,0,0,7,719,-0.5348991737485616,0.48,2,0.6730116670092565,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,5.0,5.0,0.0,0.0,14.0,21.4,0.16666666666666666,2.172326580816448e-08,1.0
AddRightCancelSemigroup.toIsRightCancelAdd,5,0,5.0,0.0,5,6.0,1,0,30.0,35.0,0.1,0.00019290708668310815,0.00013336990030734743,-0.0,4.168705827065046e-09,5,0.0,6.0,0,0,7,719,-0.5348991737485616,0.48,2,0.6730116670092565,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,5.0,5.0,0.0,0.0,13.0,20.4,0.16666666666666666,2.172326580816448e-08,1.0
AddSemigroup,4,0,8.0,0.0,4,5.0,1,0,10.75,15.0,0.2,0.00025068386828249237,0.00013336990030734743,-0.0,2.536417203884891e-09,3,0.0,7.5,0,0,14,5,-0.5,0.625,3,1.0397207708399179,0.75,4.0,4.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,3.0,3.0,1.0,0.6931471805599453,1.0
AddSemigroup.add_assoc,2,0,2.0,0.0,2,3.0,1,0,10.0,11.0,0.1,0.00019973772317897267,0.00013336990030734743,-0.0,1.7132518833098392e-10,2,0.0,3.0,0,0,4,719,-0.5739242885050523,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,2.0,0.0,0.0,4.0,4.0,0.3333333333333333,2.172326580816448e-08,1.0
